time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220510:2330,0.0,0.0,0.0,25.82,5.24,0.0,Anuradhapura,8.31223,80.41306
20220511:0030,3.46,13.59,1.43,25.82,5.1,0.0,Anuradhapura,8.31223,80.41306
20220511:0130,95.37,154.14,15.62,25.91,4.76,0.0,Anuradhapura,8.31223,80.41306
20220511:0230,250.07,330.13,29.89,26.72,5.38,0.0,Anuradhapura,8.31223,80.41306
20220511:0330,383.28,486.93,44.14,27.86,6.48,0.0,Anuradhapura,8.31223,80.41306
20220511:0430,440.23,557.21,58.21,28.16,6.83,0.0,Anuradhapura,8.31223,80.41306
20220511:0530,520.46,665.0,71.58,28.83,6.14,0.0,Anuradhapura,8.31223,80.41306
20220511:0630,641.01,829.44,80.36,30.07,6.28,0.0,Anuradhapura,8.31223,80.41306
20220511:0730,552.52,711.82,73.5,31.43,6.62,0.0,Anuradhapura,8.31223,80.41306
20220511:0830,460.5,588.99,60.4,30.15,6.21,0.0,Anuradhapura,8.31223,80.41306
20220511:0930,362.54,464.56,46.37,30.21,6.48,0.0,Anuradhapura,8.31223,80.41306
20220511:1030,222.35,296.73,32.14,29.66,6.0,0.0,Anuradhapura,8.31223,80.41306
20220511:1130,104.39,165.78,17.87,29.1,5.17,0.0,Anuradhapura,8.31223,80.41306
20220511:1230,1.76,13.01,3.66,28.77,4.76,0.0,Anuradhapura,8.31223,80.41306
20220511:1330,0.0,0.0,0.0,28.15,4.97,0.0,Anuradhapura,8.31223,80.41306
20220511:1430,0.0,0.0,0.0,27.68,5.1,0.0,Anuradhapura,8.31223,80.41306
20220511:1530,0.0,0.0,0.0,27.29,5.17,0.0,Anuradhapura,8.31223,80.41306
20220511:1630,0.0,0.0,0.0,27.04,5.03,0.0,Anuradhapura,8.31223,80.41306
20220511:1730,0.0,0.0,0.0,26.83,4.97,0.0,Anuradhapura,8.31223,80.41306
20220511:1830,0.0,0.0,0.0,26.67,4.97,0.0,Anuradhapura,8.31223,80.41306
20220511:1930,0.0,0.0,0.0,26.65,5.03,0.0,Anuradhapura,8.31223,80.41306
20220511:2030,0.0,0.0,0.0,26.48,4.9,0.0,Anuradhapura,8.31223,80.41306
20220511:2130,0.0,0.0,0.0,26.21,4.83,0.0,Anuradhapura,8.31223,80.41306
20220511:2230,0.0,0.0,0.0,25.94,4.76,0.0,Anuradhapura,8.31223,80.41306
